"","en","af","am","ar","as","az","be","bg","bn","bs","cs","da","de","dv","el","es","et","fa","fi","fr","ga","he","hi","hr","hy","id","is","it","ja","jv","ka","kk","ko","ky","lb","lt","lv","mk","mn","ms","mt","my","ne","nl","no","pl","ps","pt","ro","ru","sk","sl","so","sq","sr","su","sv","sw","tg","th","tk","tl","tr","uk","ur","uz","vi","zh"
"transparent","transparent","deursigtig","ግልጽነት ያለው","شفاف","স্বচ্ছ","şəffaf","празрысты","прозрачен","স্বচ্ছ","transparentan","průhledný","gennemsigtig","transparent","ދެކޮޅު ފެންނަ","διαφανής","transparente","läbipaistev","شفاف","läpinäkyvä","transparent","trédhearcach","שָׁקוּף","पारदर्शी","transparentan","թափանցիկ","transparan","gagnsæ","trasparente","透明","transparan","გამჭვირვალე","мөлдір","투명한","ачык","transparent","skaidrus","caurspīdīgs","транспарентен","ил тод","telus","trasparenti","ပွင့်လင်းသည်။","पारदर्शी","transparant","gjennomsiktig","przezroczysty","شفاف","transparente","transparent","прозрачный","transparentný","pregleden","hufan","transparente","транспарентан","transparan","transparent","uwazi","шаффоф","โปร่งใส","aýdyň","transparent","şeffaf","прозорий","شفاف","shaffof","trong suốt","透明的"
"trustworthy","trustworthy","betroubaar","የሚታመን","جدير بالثقة","বিশ্বাসযোগ্য","etibarlı","годны даверу","надежден","বিশ্বস্ত","pouzdan","důvěryhodný","troværdig","vertrauenswürdig","އިތުބާރު ކުރެވޭ މީހެކެވެ","αξιόπιστος","confiable","usaldusväärne","قابل اعتماد","luotettava","fiable","iontaofa","אָמִין","भरोसेमंद","pouzdan","վստահելի","dapat dipercaya","áreiðanlegur","affidabile","信頼できる","bisa dipercaya","სანდო","сенімді","신뢰할 수 있는","ишенимдүү","vertrauenswierdeg","patikimas","uzticams","доверлив","найдвартай","boleh dipercayai","affidabbli","ယုံကြည်ထိုက်သော","भरपर्दो","betrouwbaar","troverdig","godna zaufania","د اعتماد وړ","confiável","demn de incredere","заслуживающий доверия","dôveryhodný","zaupanja vreden","la aamini karo","i besueshëm","поуздан","bisa dipercaya","pålitlig","mwaminifu","боваринок","เชื่อถือได้","ygtybarly","mapagkakatiwalaan","güvenilir","надійний","امانتدار","ishonchli","đáng tin cậy","值得信赖"
"steadfast","steadfast","standvastig","የጸና","صامد","অটল","səbirli","непахісны","непоклатим","অবিচল","postojan","stálý","standhaftig","standhaft","ސާބިތުވެ","σταθερός","firme","vankumatu","ثابت قدم","vankkumaton","ferme","diongbháilte","איתן","दृढ़","postojan","հաստատուն","tabah","staðfastur","fermo","不動","mantep","ურყევი","берік","확고한","туруктуу","stänneg","tvirtas","nelokāms","непоколеблив","тууштай","tabah","sod","တည်ကြည်သော","स्थिर","standvastig","standhaftig","niezłomny","ثابت قدم","firme","statornic","стойкий","vytrvalý","neomajen","adkaysan","të palëkundur","непоколебљив","tabah","ståndaktig","thabiti","устувор","แน่วแน่","tutanýerli","matatag","kararlı","непохитний","ثابت قدم","mustahkam","kiên định","坚定的"
"sincere","sincere","Opregte","ከልብ","مخلص","গম্ভীৰ","səmimi","шчыры","искрено","আন্তরিক","iskreno","upřímný","oprigtig","aufrichtig","އިޚްލާޞްތެރި","ειλικρινής","sincero","siiras","مخلص - بی ریا - صمیمانه","vilpitön","sincère","ó chroí","כן","ईमानदार","iskrena","անկեղծ","jujur","einlægur","sincero","誠実","tulus","გულწრფელი","шын жүректен","진실된","чын жүрөктөн","oprecht","nuoširdus","sirsnīgs","искрени","чин сэтгэлээсээ","ikhlas","sinċieri","စိတ်ရင်းမှန်","इमानदार","eerlijk","oppriktig","szczery","مخلص","sincero","sincer","искренний","úprimný","iskrena","daacadnimo","të sinqertë","искрена","ikhlas","uppriktig","mkweli","самимона","จริงใจ","tüýs ýürekden","taos-puso","içten","щирий","مخلص","samimiy","chân thành","真诚"
"consistent","consistent","konsekwent","ወጥነት ያለው","ثابت","অবিচলিত","ardıcıl","паслядоўны","последователен","সামঞ্জস্যপূর্ণ","dosljedan","konzistentní","konsekvent","konsistent","ދެމިހުރުން","σταθερός","coherente","järjekindel","استوار","johdonmukainen","cohérent","comhsheasmhach","עִקבִי","एक जैसा","dosljedan","հետեւողական","konsisten","samkvæmur","coerente","一貫性のある","konsisten","თანმიმდევრული","дәйекті","일관된","ырааттуу","konsequent","nuoseklus","konsekventi","конзистентна","тууштай","konsisten","konsistenti","တသမတ်တည်း","सुसंगत","consistent","konsistent","spójny","ثابت","consistente","consistent","последовательный","konzistentné","dosledno","joogto ah","konsistente","доследан","konsisten","konsekvent","thabiti","пайваста","สม่ำเสมอ","yzygiderli","pare-pareho","tutarlı","послідовний","متواتر","izchil","nhất quán","持续的"
"open","open","oopmaak","ክፈት","يفتح","খোলা","açıq","адкрыты","отворен","খোলা","otvoren","OTEVŘENO","åben","offen","ހުޅުވުން","Άνοιξε","abierto","avatud","باز کن","avata","ouvrir","oscailt","לִפְתוֹחַ","खुला","otvoren","բացել","membuka","opið","aprire","開ける","mbukak","გახსნა","ашық","열려 있는","ачык","oppen","atviras","atvērts","отворени","нээлттэй","buka","miftuħa","ဖွင့်သည်။","खोल्नुहोस्","open","åpen","otwarty","خلاص","abrir","deschis","открыть","OTVORENÉ","odprto","furan","hapur","отворен","buka","öppen","wazi","кушодан","เปิด","açyk","bukas","açık","ВІДЧИНЕНО","کھلا","ochiq","mở","打开"
"supportive","supportive","ondersteunend","ደጋፊ","يدعم","সহায়ক","dəstəkləyən","падтрымлівае","поддържащ","সহায়ক","podrška","podpůrný","støttende","unterstützend","ސަޕޯޓިވް","υποστηρικτικός","apoyo","toetav","حمایت کننده","tukeva","favorable","tacúil","תומך","सहायक","podupirući","աջակցող","suportif","styðjandi","supporto","協力的な","nyengkuyung","მხარდამჭერი","қолдаушы","지지하는","колдоочу","ënnerstëtzen","palaikantis","atbalstošs","поддржувачки","дэмждэг","menyokong","appoġġ","ပံ့ပိုးပေးသည်။","सहयोगी","ondersteunend","støttende","Wspierający","ملاتړ کوونکی","solidário","de susținere","поддерживающий","podporný","podporno","taageero","mbështetëse","подржавајући","ngarojong","stödjande","kuunga mkono","дастгирикунанда","สนับสนุน","goldaýar","sumusuporta","destekleyici","підтримуючий","معاون","qo'llab-quvvatlovchi","ủng hộ","支持的"
"reassuring","reassuring","gerusstellend","ማረጋጋት","مطمئن","আশ্বস্ত কৰা","arxayınlaşdırıcı","абнадзейвае","успокояващо","আশ্বস্ত","umirujuće","uklidňující","betryggende","beruhigend","ޔަގީންކަން ދިނުން","καθησυχαστικός","tranquilizador","rahustav","اطمینان بخش","rauhoittava","rassurant","dearfach","מרגיע","आश्वस्त","umirujući","հուսադրող","meyakinkan","traustvekjandi","rassicurante","心強い","nentremake ati","დამამშვიდებელი","сендіретін","안심시키는","ынандыруучу","berouegend","raminanti","pārliecinoši","смирувачки","тайвшруулах","meyakinkan","rassikuranti","စိတ်ချပါ။","आश्वासन दिने","geruststellend","betryggende","uspokajające","ډاډ ورکوونکی","reconfortante","liniştitor","обнадеживающий","upokojujúce","pomirjujoče","kalsooni","qetësuese","умирујући","ngayakinkeun","betryggande","kutia moyo","таскинбахш","มั่นใจ","köşeşdiriji","nakakapanatag","güven verici","заспокоює","یقین دلانے والا","taskin beruvchi","trấn an","安心"
"believable","believable","geloofwaardig","የሚታመን","يمكن تصديقه","বিশ্বাসযোগ্য","inandırıcı","праўдападобна","правдоподобно","বিশ্বাসযোগ্য","uvjerljivo","uvěřitelný","troværdig","glaubhaft","ގަބޫލުކުރެވޭނެއެވެ","πιστευτός","creíble","usutav","قابل باور","uskottava","croyable","inchreidte","אמין","मुमकिन","vjerodostojan","հավատալի","terpercaya","trúverðug","credibile","信じられる","dipercaya","დასაჯერებელი","сенетін","믿을 만한","ишеничтүү","glafwierdeg","tikėtina","ticams","веродостојна","үнэмшилтэй","boleh dipercayai","kredibbli","မယုံနိုင်စရာ","विश्वासयोग्य","geloofwaardig","troverdig","wiarygodne","د باور وړ","crível","credibil","правдоподобный","uveriteľné","prepričljiv","la aamini karo","e besueshme","уверљиво","dipercaya","trovärdig","kuaminika","боварибахш","เชื่อได้","ynanar","mapagkakatiwalaan","inanılır","правдоподібно","قابل اعتماد","ishonarli","đáng tin cậy","可信的"
"distrust","distrust","wantroue","አለመተማመን","عدم الثقة","অবিশ্বাস","inamsızlıq","недавер","недоверие","অবিশ্বাস","nepovjerenje","nedůvěra","mistillid","Misstrauen","އިތުބާރު ނެތުން","δυσπιστία","desconfianza","usaldamatus","بی اعتمادی","epäluottamus","méfiance","distrust","חוסר אמון","शक","nepovjerenje","անվստահություն, կասկած","ketidakpercayaan","vantraust","diffidenza","不信","ora percaya","უნდობლობა","сенімсіздік","불신","ишенбөө","Mësstrauen","nepasitikėjimas","neuzticēšanās","недоверба","үл итгэх","rasa tidak percaya","nuqqas ta’ fiduċja","မယုံကြည်မှု","अविश्वास","wantrouwen","mistro","nieufność","بې باوري","desconfiança","neîncredere","недоверие","nedôvera","nezaupanje","kalsooni darro","mosbesimi","неповерење","teu percaya","misstro","kutoaminiana","нобоварй","ความไม่ไว้วางใจ","ynamsyzlyk","kawalan ng tiwala","güvensizlik","недовіра","عدم اعتماد","ishonchsizlik","không tin tưởng","怀疑"
"unreliable","unreliable","onbetroubaar","የማይታመን","غير جدير بالثقة","অবিশ্বাস্য","etibarsız","ненадзейны","ненадежден","অবিশ্বস্ত","nepouzdan","nespolehlivý","upålidelige","unzuverlässig","އިތުބާރު ނުކުރެވޭނެއެވެ","αναξιόπιστος","faltón","ebausaldusväärne","غیر قابل اعتماد","epäluotettava","non fiable","neamhiontaofa","לֹא מְהֵימָן","अविश्वसनीय","nepouzdan","անվստահելի","tidak bisa diandalkan","óáreiðanlegur","inaffidabile","信頼できない","ora bisa dipercaya","არასანდო","сенімсіз","신뢰할 수 없는","ишенимсиз","onzouverlässeg","nepatikimas","neuzticams","несигурни","найдваргүй","tidak boleh dipercayai","inaffidabbli","စိတ်မချရပါ။","अविश्वसनीय","onbetrouwbaar","upålitelig","niewiarygodne","بې اعتباره","não confiável","nesigure","ненадежный","nespoľahlivé","nezanesljiv","aan la isku halayn karin","jo të besueshme","непоуздан","teu bisa dipercaya","opålitliga","asiyetegemewa","беэътимод","ไม่น่าเชื่อถือ","ygtybarsyz","hindi mapagkakatiwalaan","güvenilmez","ненадійний","ناقابل اعتبار","ishonchsiz","không đáng tin cậy","不可靠"
"undependable","undependable","onbetroubaar","የማይታመን","لا يمكن الاعتماد عليها","অনিৰ্ভৰশীল","etibarsız","ненадзейны","ненадеждна","নির্ভরযোগ্য","nepouzdan","nespolehlivé","upålidelig","unzuverlässig","ބަރޯސާ ނުވެވޭނެއެވެ","αναξιόπιστη","no confiable","ebausaldusväärne","غیر قابل اعتماد","epäluotettava","peu fiable","do-spleách","בלתי אמין","भरोसेमंद","nepouzdan","անվստահելի","tidak dapat diandalkan","óáreiðanlegur","inaffidabile","頼りない","ora bisa dipercaya","დაუჯერებელი","сенімсіз","신뢰할 수 없는","көз каранды эмес","onofhängeg","nepatikimas","neuzticams","несигурен","найдваргүй","tidak boleh dipercayai","inaffidabbli","အားကိုးစရာ","भरपर्दो छैन","onbetrouwbaar","upålitelig","niezawodna","بې اعتباره","Independente","nedemn de încredere","ненадежный","nespoľahlivý","nezanesljiv","aan la isku hallayn karin","e pabesueshme","непоуздан","teu bisa diandelkeun","otillförlitlig","isiyotegemewa","ноустувор","พึ่งพาไม่ได้","bagly däl","hindi maaasahan","güvenilmez","ненадійний","ناقابل اعتبار","ishonchsiz","không đáng tin cậy","不可靠的"
"dishonest","dishonest","oneerlik","ሐቀኝነት የጎደለው","غير شريفة","অসৎ","vicdansız","несумленны","нечестен","অসৎ","nepošten","nečestný","uærlig","unehrlich","ނަޒާހަތްތެރިކަން ކުޑައެވެ","ανέντιμος","deshonesto","ebaaus","متقلب","epärehellinen","malhonnête","mímhacánta","לֹא יָשָׁר","बेईमान","nepošten","անազնիվ","tidak jujur","óheiðarlegur","disonesto","不誠実","ora jujur","უპატიოსნო","адал емес","부정한","абийирсиз","onéierlech","nesąžiningi","negodīgi","нечесен","шударга бус","tidak jujur","diżonest","မရိုးသားသော","बेइमान","oneerlijk","uærlig","nieuczciwy","بې ایمانه","desonesto","necinstit","нечестный","nečestný","nepošten","daacadnimo","i pandershëm","непоштен","teu jujur","oärlig","wasio waaminifu","бевиҷдон","ไม่ซื่อสัตย์","binamys","hindi tapat","sahtekâr","нечесний","بے ایمان","insofsiz","Không trung thực","不诚实"
"incredible","incredible","ongelooflik","የማይታመን","رائع","অবিশ্বাস্য","inanılmaz","неверагодна","невероятен","অবিশ্বাস্য","nevjerovatno","neuvěřitelný","utrolig","unglaublich","ވަރަށް ފުރިހަމަ","απίστευτος","increíble","uskumatu","باور نکردنی","uskomaton","incroyable","dochreidte","מדהים","अविश्वसनीय","nevjerojatan","անհավանական","menakjubkan","ótrúlegt","incredibile","信じられない","luar biasa","წარმოუდგენელი","керемет","믿을 수 없는","укмуш","onheemlech","neįtikėtinas","neticami","неверојатно","итгэмээргүй","luar biasa","inkredibbli","မယုံနိုင်လောက်အောင်","अविश्वसनीय","ongelooflijk","utrolig","niesamowity","د نه منلو وړ","incrível","incredibil","невероятный","neuveriteľné","neverjetno","cajiib ah","e pabesueshme","невероватан","luar biasa","otrolig","ajabu","бениҳоят","เหลือเชื่อ","ajaýyp","hindi kapani-paniwala","inanılmaz","неймовірно","ناقابل یقین","aql bovar qilmaydigan","đáng kinh ngạc","极好的"
"unfaithful","unfaithful","ontrou","ታማኝ ያልሆነ","غير مخلص","অবিশ্বাসী","vəfasız","няверны","неверен","অবিশ্বস্ত","neveran","nevěrný","utro","untreu","ބޭވަފާތެރިއެވެ","άπιστος","infiel","truudusetu","بي وفا","uskoton","infidèle","mídhlisteanach","בּוֹגֵד","अनफेथफुल","nevjeran","անհավատարիմ","tidak setia","ótrú","infedele","不誠実な","ora setya","მოღალატე","опасыз","성실하지 않은","ишенимсиз","ontrou","neištikimas","neuzticīgs","неверен","үнэнч бус","tidak setia","infidili","သစ္စာမဲ့","अविश्वासी","ontrouw","utro","niewierny","بې وفا","infiel","necredincios","неверный","neverný","nezvest","aan daacad ahayn","i pabesë","неверни","teu satia","otrogen","wasio mwaminifu","бевафо","ไม่ซื่อสัตย์","biwepalyk","hindi tapat","vefasız","невірний","بے وفا","bevafo","không chung thủy","不忠"
"deceitful","deceitful","bedrieglik","አታላይ","مخادع","প্ৰতাৰক","aldadıcı","падманлівы","измамен","প্রতারক","varljiv","lstivý","bedragerisk","betrügerisch","މަކަރުވެރިއެވެ","δόλιος","engañoso","petlik","فریبنده","petollinen","trompeur","mealltach","מְרַמֶה","छल से","lažljiv","խաբեբա","bohong","svikul","ingannevole","欺瞞的な","ngapusi","მატყუარა","алдамшы","기만적인","алдамчы","täuschend","apgaulinga","mānīgs","измамнички","зальтай","menipu","qarrieqa","လှည့်စားသော","छली","bedrieglijk","bedragersk","podstępny","دروغجن","enganoso","înşelător","лживый","klamlivý","zavajajoče","khiyaano badan","mashtruese","лажљив","licik","bedräglig","mdanganyifu","фиребгар","หลอกลวง","aldawçy","mapanlinlang","aldatıcı","брехливий","دھوکے باز","yolg'onchi","dối trá","骗人的"
"fake","fake","vals","የውሸት","مزيف","ভুৱা","saxta","падробка","фалшив","নকল","lažno","falešný","falsk","gefälscht","އަސްލުނޫން","απομίμηση","falso","võlts","جعلی","väärennös","faux","bréige","מְזוּיָף","नकली","lažan","կեղծ","palsu","falsa","impostore","偽","palsu","ყალბი","жалған","가짜","жасалма","gefälscht","netikras","viltots","лажен","хуурамч","palsu","foloz","အတု","नक्कली","nep","forfalskning","podróbka","جعلي","falso","fals","фальшивый","falošný","Lažne","been abuur ah","e rreme","лажан","palsu","falsk","bandia","қалбакӣ","ปลอม","galp","peke","sahte","підробка","جعلی","soxta","giả mạo","伪造的"
"opaque","opaque","ondeursigtig","ግልጽ ያልሆነ","مبهمة","অস্বচ্ছ","qeyri-şəffaf","непразрысты","непрозрачен","অস্বচ্ছ","neproziran","neprůhledný","uigennemsigtig","undurchsichtig","އޮޕެކް އެވެ","αδιαφανής","opaco","läbipaistmatu","مات","läpinäkymätön","opaque","teimhneach","אָטוּם","अस्पष्ट","neproziran","անթափանց","buram","ógegnsætt","opaco","不透明","opaque","გაუმჭვირვალე","мөлдір емес","불투명체","тунук эмес","opak","nepermatomas","necaurspīdīgs","непроѕирни","тунгалаг","legap","opak","ဒီလိုပါပဲ။","अपारदर्शी","ondoorzichtig","ugjennomsiktig","nieprzejrzysty","مبهم","opaco","opac","непрозрачный","nepriehľadné","neprozoren","madmadow","i errët","непрозиран","opak","ogenomskinlig","isiyo wazi","ношаффоф","ทึบแสง","düşnüksiz","malabo","opak","непрозорий","مبہم","shaffof emas","mờ mịt","不透明"
"untrustworthy","untrustworthy","onbetroubaar","የማይታመን","غير موثوق به","অবিশ্বাস্য","etibarsız","нядобранадзейны","неблагонадежден","অবিশ্বস্ত","nepouzdan","nedůvěryhodný","utroværdig","unseriös","އިތުބާރު ނުކުރެވޭ","αναξιόπιστος","indigno de confianza","ebausaldusväärne","غیر قابل اعتماد","epäluotettava","indigne de confiance","neamhiontaofa","לא מהימן","कुटिल","nepouzdan","անվստահելի","tidak dapat dipercaya","ótraust","inaffidabile","信頼できない","ora bisa dipercaya","არასანდო","сенімсіз","믿지 못할","ишенимсиз","untrustworthy","nepatikimas","neuzticams","недоверливи","найдваргүй","tidak boleh dipercayai","inaffidabbli","စိတ်မချရ","अविश्वसनीय","onbetrouwbaar","upålitelig","niegodny zaufania","بې اعتباره","indigno de confiança","nedemn de încredere","ненадежный","nedôveryhodný","nezaupljiv","aan la aamini karin","i pabesueshëm","неповерљив","teu bisa dipercaya","opålitlig","asiyeaminika","нобоварӣ","ไม่น่าเชื่อถือ","ygtybarsyz","hindi mapagkakatiwalaan","güvenilmez","не заслуговує довіри","ناقابل اعتماد","ishonchsiz","không đáng tin cậy","不可信的"
"disloyal","disloyal","dislojaal","ታማኝ ያልሆነ","غير وفي","অবিশ্বাসী","vəfasız","нелаяльны","нелоялен","অবিশ্বস্ত","nelojalan","neloajální","illoyal","illoyal","ވަފާތެރިކަން ކުޑައެވެ","άπιστος","desleal","ebalojaalne","بی وفا","uskoton","déloyal","dílis","לֹא נֶאֱמָן","बेवफ़ा","nevjeran","անհավատարիմ","tidak setia","óhollustu","sleale","不誠実な","ora setya","ორგული","адал емес","불충한","ишенимсиз","disloyal","nelojalus","nelojāli","нелојални","үнэнч бус","tidak setia","żleali","ပညာမဲ့","अवफादार","ontrouw","illojal","nielojalny","بې وفا","desleal","neloial","нелояльный","nelojálny","nelojalen","daacadnimo","të pabesë","нелојални","teu satia","illojal","wasio waaminifu","бевафо","ไม่ซื่อสัตย์","biwepalyk","hindi tapat","vefasız","нелояльний","بے وفا","vafosiz","không trung thành","不忠"
"unsteady","unsteady","onstabiel","ያልተረጋጋ","غير مستقر","অস্থিৰ","qeyri-sabit","няўстойлівы","нестабилен","অস্থির","nestabilan","nestabilní","ustabil","unsicher","ނުތަނަވަސްވެފައެވެ","ασταθής","inestable","ebakindel","ناپایا","epävakaa","instable","gan staonadh","מִתנוֹדֵד","अस्थिर","nestalan","անկայուն","goyah","óstöðugur","instabile","不安定な","ora mantep","არასტაბილური","тұрақсыз","불안정한","туруксуз","onbestänneg","netvirtas","nestabils","нестабилен","тогтворгүй","tidak stabil","mhux stabbli","မတည်မငြိမ်","अस्थिर","wankel","ustødig","niepewny","بې ثباته","instável","instabil","неустойчивый","nestály","nestabilen","xasilloonayn","i paqëndrueshëm","несталан","teu ajeg","ostadig","isiyo imara","ноустувор","ไม่มั่นคง","durnuksyz","hindi matatag","kararsız","нестабільний","غیر مستحکم","beqaror","không vững vàng","不稳定的"
"suspicious","suspicious","verdag","አጠራጣሪ","مثير للشك","সন্দেহজনক","şübhəli","падазроны","подозрителен","সন্দেহজনক","sumnjivo","podezřelý","mistænksom","verdächtig","ޝައްކު ކުރެވޭ","ύποπτος","sospechoso","kahtlane","مشکوک","epäilyttävä","suspect","amhrasach","חָשׁוּד","संदिग्ध","sumnjivo","կասկածելի","mencurigakan","grunsamlegt","sospetto","疑わしい","curiga","საეჭვო","күдікті","의심스러운","шектүү","verdächteg","įtartinas","aizdomīgs","сомнителен","сэжигтэй","mencurigakan","suspettużi","သံသယဖြစ်ဖွယ်","शंकास्पद","verdacht","mistenkelig","podejrzany","شکمن","suspeito","suspicios","подозрительный","podozrivý","sumljivo","laga shakiyo","e dyshimtë","сумњиво","curiga","misstänksam","mwenye shaka","шубҳанок","สงสัย","şübheli","kahina-hinala","şüpheli","підозрілий","مشکوک","shubhali","khả nghi","可疑的"
"inconsistent","inconsistent","strydig","የማይጣጣም","تتعارض","অসামঞ্জস্যপূৰ্ণ","ziddiyyətli","супярэчлівы","непоследователен","অসামঞ্জস্যপূর্ণ","nedosledno","nekonzistentní","inkonsekvent","inkonsistent","އެއްގޮތް ނުވާ ކަމެކެވެ","ασυνεπής","inconsistente","ebajärjekindel","ناسازگار","epäjohdonmukainen","inconsistant","neamh-chomhsheasmhach","לא עקבי","असंगत","nedosljedan","անհամապատասխան","tidak konsisten","ósamræmi","incoerente","一貫性のない","ora konsisten","არათანმიმდევრული","сәйкес емес","일관성 없는","карама-каршы","inkonsistent","nenuoseklus","nekonsekventi","неконзистентни","нийцэхгүй","tidak konsisten","inkonsistenti","တသမတ်တည်း","असंगत","inconsequent","inkonsekvent","niespójny","متضاد","inconsistente","inconsecventă","непоследовательный","nekonzistentné","nedosleden","iswaafaqayn","jokonsistente","недоследан","teu konsisten","inkonsekvent","haiendani","номувофиқ","ไม่สอดคล้องกัน","gabat gelmeýär","hindi pare-pareho","tutarsız","непослідовний","متضاد","mos kelmaydigan","không nhất quán","不一致"
"closed","closed","gesluit","ዝግ","مغلق","বন্ধ","Bağlı","закрытыя","затворен","বন্ধ","zatvoreno","ZAVŘENO","lukket","geschlossen","ބަންދުކޮށްފައި","κλειστό","cerrado","suletud","بسته","suljettu","fermé","dúnta","סָגוּר","बंद किया हुआ","zatvoreno","փակված","tertutup","lokað","Chiuso","閉まっている","ditutup","დახურული","жабық","닫은","жабык","zougemaach","uždaryta","slēgts","затворена","хаалттай","tertutup","magħluqa","ပိတ်သိမ်း","बन्द","gesloten","lukket","Zamknięte","تړل شوی","fechado","închis","закрыто","ZATVORENÉ","zaprto","xiran","mbyllur","затворено","ditutup","stängd","imefungwa","баста","ปิด","ýapyk","sarado","kapalı","ЗАЧИНЕНО","بند","yopiq","đóng cửa","关闭"
"unsupportive","unsupportive","onondersteunend","የማይደገፍ","غير داعم","অসহায়ক","dəstəksiz","не падтрымлівае","неподдържащ","সমর্থনহীন","nepodržavajući","nepodporující","ikke støttende","nicht unterstützend","ތާއީދު ނުކުރާ","μη υποστηρικτικός","insolidario","mittetoetav","بدون حمایت","ei tue","peu favorable","gan tacú","לא תומך","असमर्थित","nepodržavajući","չաջակցող","tidak mendukung","óstyðjandi","non di supporto","支持的でない","ora ndhukung","დაუჭერელი","қолдаусыз","비지지","колдобойт","net ënnerstëtzen","nepalaikantis","neatbalstošs","без поддршка","дэмжихгүй","tidak menyokong","bla appoġġ","မထောက်ခံပါ။","समर्थन नगर्ने","niet ondersteunend","ikke støttende","nie wspierający","بې ملاتړه","sem apoio","nesprijinitoare","неподдерживающий","nepodporujúci","nepodporno","aan taageersanayn","jombështetës","неподржавајући","teu ngadukung","ostödjande","wasioungwa mkono","дастгирнашаванда","ไม่สนับสนุน","goldaw bermeýär","hindi sumusuporta","destekleyici olmayan","не підтримує","غیر معاون","qo'llab-quvvatlamaydigan","không ủng hộ","不支持的"
"unreassuring","unreassuring","onrustig","የማያረጋጋ","غير مطمئن","অনিশ্চয়জনক","arxayın olmayan","несуцяшальны","неуспокояващо","অস্বস্তিকর","neuverljivo","zneklidňující","betryggende","unberuhigend","ޔަގީންކަން ނެތް ގޮތަކަށެވެ","μη καθησυχαστικός","inquietante","rahustav","غیر اطمینان بخش","epämiellyttävä","peu rassurant","dothuigthe","לא מרגיע","आश्वस्त नहीं करने वाला","neumirujući","չհուսադրող","tidak meyakinkan","óhugsandi","poco rassicurante","安心できない","ora ngyakinake","არამშვიდებს","сенімсіз","불안한","ишендирбеген","onroueg","neramina","nedroši","неуверлив","итгэлгүй","tidak meyakinkan","bla rassikuranti","စိတ်မချရပါ။","आश्वस्त","niet geruststellend","lite betryggende","niepewne","بې ډاډه","desconcertante","neliniștitor","неутешительный","nepokojný","nepomirjujoče","aan kalsooni lahayn","josiguruese","неуверљиво","teu ngayakinkeun","otryggande","isiyohakikishia","боварибахш","ไม่มั่นใจ","ynandyryjy däl","walang katiyakan","güven vermeyen","невтішний","ناقابل یقین","ishonchsiz","không yên tâm","不放心"
"unbelievable","unbelievable","ongelooflik","የማይታመን","لا يصدق","অবিশ্বাস্য","inanılmaz","неверагодна","невероятно","অবিশ্বাস্য","neverovatno","neuvěřitelný","utrolig","unglaublich","ގަބޫލު ނުކުރެވޭނެއެވެ","απίστευτος","increíble","uskumatu","باور نکردنی","uskomatonta","incroyable","dochreidte","בלתי יאומן","अविश्वसनीय","nevjerojatno","անհավատալի","sulit dipercaya","ótrúlegt","incredibile","信じられない","ora bisa dipercaya","დაუჯერებელი","сенгісіз","믿을 수 없는","укмуштуудай","onheemlech","neįtikėtina","neticami","неверојатно","итгэмээргүй","sukar dipercayai","inkredibbli","မယုံနိုင်စရာ","अविश्वसनीय","ongelooflijk","ikke til å tro","nie do wiary","د باور وړ","inacreditável","necrezut","невероятный","neuveriteľné","neverjetno","aan la rumaysan karin","e pabesueshme","невероватно","teu bisa dipercaya","otrolig","isiyoaminika","боваринок","เหลือเชื่อ","ynanar ýaly däl","hindi kapani-paniwala","Inanılmaz","неймовірно","ناقابل یقین","aql bovar qilmaydigan","không thể tin được","难以置信"
"deceptive","deceptive","bedrieglik","አታላይ","خادع","প্ৰতাৰণামূলক","aldadıcı","зманлівы","измамно","বিভ্রান্তিকর","varljivo","klamný","vildledende","trügerisch","އޮޅުވާލުމެވެ","απατηλός","engañoso","petlik","فریبنده","petollinen","trompeur","mealltach","מתעתע","कपटी","varljiv","խաբուսիկ","menipu","blekkjandi","ingannevole","欺瞞的な","ngapusi","მატყუარა","алдамшы","속이는","алдамчы","täuschend","apgaulinga","mānīgs","измамен","хуурмаг","menipu","qarrieqa","လှည့်စားသည်။","भ्रामक","bedrieglijk","villedende","zwodniczy","درواغجن","enganoso","înșelător","обманчивый","klamlivé","varljivo","khiyaano","mashtruese","варљив","nipu","vilseledande","mdanganyifu","фиребанда","หลอกลวง","aldawçy","mapanlinlang","aldatıcı","оманливий","فریب دینے والا","aldamchi","lừa đảo","骗人的"
"single","single","enkellopend","ነጠላ","أعزب","একক","subay","адзіночны","единичен","একক","single","singl","enkelt","einzel","އެކަތި","μονόκλινο","soltero","vallaline","تنها","yksittäinen","seul","singil","יחיד","अकेला","singl","միայնակ","lajang","einhleypur","separare","独身","tunggal","მარტოხელა","бойдақ","하나의","бойдок","eenzel","vienišas","viens","сингл","ганц бие","bujang","waħdieni","တစ်ခုတည်း","एकल","enkel","enkelt","pojedynczy","واحد","solteiro","singur","одинокий","slobodný","samski","hal","beqare","једно","tunggal","enda","single","муҷаррад","เดี่ยว","ýeke","walang asawa","Bekar","неодружений","اکیلا","yagona","đơn","单身的"
